Mot,Ligne,Colonne,Page,identifiant,
FAIRE,1,5,faire,faire@faire,
CONSTRUIRE,2,5,faire,construire@faire,
DESSINER,3,5,faire,dessiner@faire,
CUISINER,1,6,faire,cuisiner@faire,
MÉLANGER,2,6,faire,mélanger@faire,
RÉPARER,3,6,faire,réparer@faire,
PEINTURER,1,7,faire,peinturer@faire,
PAS,2,7,faire,pas@faire,
TRAVAILLER,3,7,faire,travailler@faire,
ENCORE,1,8,faire,encore@faire,
C’EST FINI,2,8,faire,c’est_fini@faire,
FAIRE,3,8,faire,faire@faire,
PLUS,4,8,faire,plus@faire,
,,,plus@faire,faire_-_2,
COUDRE,1,1,faire_-_2,coudre@faire_-_2,
ÉTENDRE,2,1,faire_-_2,étendre@faire_-_2,
JOINDRE,1,2,faire_-_2,joindre@faire_-_2,
DÉCORER,2,2,faire_-_2,décorer@faire_-_2,
COUPER EN MORCEAUX,1,3,faire_-_2,couper_en_morceaux@faire_-_2,
ENREGISTRER,2,3,faire_-_2,enregistrer@faire_-_2,
FRIRE,1,4,faire_-_2,frire@faire_-_2,
POUSSER,2,4,faire_-_2,pousser@faire_-_2,
SAUPOUDRER,1,5,faire_-_2,saupoudrer@faire_-_2,
CREUSER,2,5,faire_-_2,creuser@faire_-_2,
MESURER,1,6,faire_-_2,mesurer@faire_-_2,
COUPER EN TRANCHES,1,7,faire_-_2,couper_en_tranches@faire_-_2,
FONDRE,1,8,faire_-_2,fondre@faire_-_2,
RETOUR,4,8,faire_-_2,retour@faire_-_2,
,,,retour@faire_-_2,faire,
JE,1,1,penser,je@penser,
TU,2,1,penser,tu@penser,
ÇA,3,1,penser,ça@penser,
SE SOUVENIR,4,1,penser,se_souvenir@penser,
ÊTRE,1,2,penser,être@penser,
CROIRE,2,2,penser,croire@penser,
ESPÉRER,3,2,penser,espérer@penser,
PENSER,4,2,penser,penser@penser,
VOULOIR,1,3,penser,vouloir@penser,
COMPTER,2,3,penser,compter@penser,
IMAGINER,3,3,penser,imaginer@penser,
COMPRENDRE,4,3,penser,comprendre@penser,
AIMER,1,4,penser,aimer@penser,
RÊVER,2,4,penser,rêver@penser,
SAVOIR,3,4,penser,savoir@penser,
SOUHAITER,4,4,penser,souhaiter@penser,
FAIRE,1,5,penser,faire@penser,
OUBLIER,2,5,penser,oublier@penser,
APPRENDRE,3,5,penser,apprendre@penser,
ÊTRE D’ACCORD,1,6,penser,être@d’accord@penser,
DEVINER,2,6,penser,deviner@penser,
MENTIR,3,6,penser,mentir@penser,
RÉPONDRE,1,7,penser,répondre@penser,
PAS,2,7,penser,pas@penser,
CHOISIR,3,7,penser,choisir@penser,
ENCORE,1,8,penser,encore@penser,
C’EST FINI ,2,8,penser,c’est_fini@penser,
FAIRE SEMBLANT,3,8,penser,faire@semblant@penser,
PLUS,4,8,penser,plus@penser,
,,,plus@penser,penser_-_2,
NE PAS ÊTRE D’ACCORD,1,1,penser_-_2,ne_pas_être_d’accord@penser_-_2,
SIGNIFIER,1,2,penser_-_2,signifier@penser_-_2,
PLANIFIER,1,3,penser_-_2,planifier@penser_-_2,
PROMETTRE,1,4,penser_-_2,promettre@penser_-_2,
DEMANDER,1,5,penser_-_2,demander@penser_-_2,
ÉTUDIER,1,6,penser_-_2,étudier@penser_-_2,
ENSEIGNER,1,7,penser_-_2,enseigner@penser_-_2,
