Mot,Ligne,Colonne,Page,identifiant,
ENCORE,1,8,médical,encore@médical,
C’EST FINI,2,8,médical,c’est_fini@médical,
PLUS,4,8,médical,plus@médical,
,,,plus@médical,médical_-_2,
ASPIRATION,1,1,médical_-_2,aspiration@médical_-_2,
PINCE À ÉPILER,2,1,médical_-_2,pince_à_épiler@médical_-_2,
TUBE GASTRIQUE,3,1,médical_-_2,tube_gastrique@médical_-_2,
BOUTON POUR APPELER L’INFIRMIÈRE,1,2,médical_-_2,bouton_pour_appeler_l’infirmière@médical_-_2,
PLÂTRE,2,2,médical_-_2,plâtre@médical_-_2,
CANULE À TRACHÉE,1,3,médical_-_2,canule_à_trachée@médical_-_2,
POMPE À GAVAGE,2,3,médical_-_2,pompe_à_gavage@médical_-_2,
CARTE D’ASSURANCE,1,4,médical_-_2,carte_d’assurance@médical_-_2,
POMPE DE BACLOFÈNE,2,4,médical_-_2,pompe_de_baclofène@médical_-_2,
GANTS DE LATEX,1,5,médical_-_2,gants_de_latex@médical_-_2,
STÉTHOSCOPE,2,5,médical_-_2,stéthoscope@médical_-_2,
GOUTTES POUR LES OREILLES ,1,6,médical_-_2,gouttes_pour_les_oreilles@médical_-_2,
TABLE D’EXAMEN,2,6,médical_-_2,table_d’examen@médical_-_2,
INHALATEUR,1,7,médical_-_2,inhalateur@médical_-_2,
PRESSION ARTÉRIELLE,2,7,médical_-_2,pression_artérielle@médical_-_2,
OPÉRATION,1,8,médical_-_2,opération@médical_-_2,
TROUSSE DE SECOURS,2,8,médical_-_2,trousse_de_secours@médical_-_2,
RETOUR,4,8,médical_-_2,retour@médical_-_2,
,,,retour@médical_-_2,médical,
JE,1,1,produits_hygiéniques,je@produits_hygiéniques,
TU,2,1,produits_hygiéniques,tu@produits_hygiéniques,
CHEVEUX,3,1,produits_hygiéniques,cheveux@produits_hygiéniques,
PAPIER DE TOILETTES,4,1,produits_hygiéniques,papier_de_toilettes@produits@hygiéniques,
ÊTRE,1,2,produits_hygiéniques,être@produits_hygiéniques,
LAVER,2,2,produits_hygiéniques,laver@produits_hygiéniques,
COUPE DE CHEVEUX,3,2,produits_hygiéniques,coupe_de_cheveux@produits_hygiéniques,
PÂTE À DENTS,4,2,produits_hygiéniques,pâte_à_dents@produits_hygiéniques,
VOULOIR,1,3,produits_hygiéniques,vouloir@produits_hygiéniques,
PEIGNER,2,3,produits_hygiéniques,peigner@produits_hygiéniques,
CRÈME,3,3,produits_hygiéniques,crème@produits_hygiéniques,
REVITALISANT,4,3,produits_hygiéniques,revitalisant@produits_hygiéniques,
AIMER,1,4,produits_hygiéniques,aimer@produits_hygiéniques,
PRENDRE UN BAIN,2,4,produits_hygiéniques,prendre_un_bain@produits_hygiéniques,
DÉODORANT,3,4,produits_hygiéniques,déodorant@produits_hygiéniques,
SAVON,4,4,produits_hygiéniques,savon@produits_hygiéniques,
FAIRE,1,5,produits_hygiéniques,faire@produits_hygiéniques,
BAUME À LÈVRES,2,5,produits_hygiéniques,baume_à_lèvres@produits_hygiéniques,
DOUCHE,3,5,produits_hygiéniques,douche@produits_hygiéniques,
SHAMPOING,4,5,produits_hygiéniques,shampoing@produits_hygiéniques,
BROSSER,1,6,produits_hygiéniques,brosser@produits_hygiéniques,
BROSSE À DENTS,2,6,produits_hygiéniques,brosse_à_dents@produits_hygiéniques,
GOUTTES POUR LES YEUX,3,6,produits_hygiéniques,gouttes_pour_les_yeux@produits_hygiéniques,
SOIE DENTAIRE,4,6,produits_hygiéniques,soie_dentaire@produits_hygiéniques,
BROSSER LES DENTS,1,7,produits_hygiéniques,brosser_les_dents@produits_hygiéniques,
PAS ,2,7,produits_hygiéniques,pas@produits_hygiéniques,
MAQUILLAGE,3,7,produits_hygiéniques,maquillage@produits_hygiéniques,
VERNIS À ONGLES,4,7,produits_hygiéniques,vernis@à@ongles@produits_hygiéniques,
ENCORE,1,8,produits_hygiéniques,encore@produits_hygiéniques,
C’EST FINI,2,8,produits_hygiéniques,c’est_fini@produits_hygiéniques,
MOUCHOIRS,3,8,produits_hygiéniques,mouchoirs@produits_hygiéniques,
PLUS,4,8,produits_hygiéniques,plus@produits_hygiéniques,
,,,plus@produits_hygiéniques,produits_hygiéniques_-_2,
BOUTONNER,1,1,produits_hygiéniques_-_2,boutonner@produits_hygiéniques_-_2,
COUCHE MOUILLÉE,2,1,produits_hygiéniques_-_2,couche_mouillée@produits_hygiéniques_-_2,
OUATE,3,1,produits_hygiéniques_-_2,ouate@produits_hygiéniques_-_2,
SOINS CAPILLAIRES,4,1,produits_hygiéniques_-_2,soins_capillaires@produits_hygiéniques_-_2,
,,,soins_capillaires@produits_hygiéniques_-_2,soins_capillaires,
DÉBOUTONNER,1,2,produits_hygiéniques_-_2,déboutonner@produits_hygiéniques_-_2,
COUCHE PROPRE,2,2,produits_hygiéniques_-_2,couche_propre@produits_hygiéniques_-_2,
Q-TIP,3,2,produits_hygiéniques_-_2,q-tip@produits_hygiéniques_-_2,
MAQUILLAGE,4,2,produits_hygiéniques_-_2,maquillage@produits_hygiéniques_-_2,
,,,maquillage@produits_hygiéniques_-_2,maquillage,
REMONTER LA FERMETURE ÉCLAIR,1,3,produits_hygiéniques_-_2,remonter_la_fermeture_éclair@produits_hygiéniques_-_2,
COUCHE SALE,2,3,produits_hygiéniques_-_2,couche_sale@produits_hygiéniques_-_2,
RASOIR,3,3,produits_hygiéniques_-_2,rasoir@produits_hygiéniques_-_2,
OUVRIR LA FERMETURE ÉCLAIR,1,4,produits_hygiéniques_-_2,ouvrir_la_fermeture_éclair@produits_hygiéniques_-_2,
COUPE-ONGLES,2,4,produits_hygiéniques_-_2,coupe-ongles@produits_hygiéniques_-_2,
RASOIR ÉLECTRIQUE,3,4,produits_hygiéniques_-_2,rasoir@électrique@produits_hygiéniques_-_2,
APPAREIL DENTAIRE,1,5,produits_hygiéniques_-_2,appareil_dentaire@produits_hygiéniques_-_2,
CRÈME À RASER,2,5,produits_hygiéniques_-_2,crème_à_raser@produits_hygiéniques_-_2,
RINCE-BOUCHE,3,5,produits_hygiéniques_-_2,rince-bouche@produits_hygiéniques_-_2,
BANDAGE,1,6,produits_hygiéniques_-_2,bandage@produits_hygiéniques_-_2,
ÉTUI À VERRES DE CONTACT ,2,6,produits_hygiéniques_-_2,étui_à_verres_de_contact@produits_hygiéniques_-_2,
SAVON POUR LES MAINS,3,6,produits_hygiéniques_-_2,savon_pour_les_mains@produits_hygiéniques_-_2,
COUCHE,1,7,produits_hygiéniques_-_2,couche@produits_hygiéniques_-_2,
MAINS SALES,2,7,produits_hygiéniques_-_2,mains_sales@produits_hygiéniques_-_2,
SOLUTION DE VERRES DE CONTACT,3,7,produits_hygiéniques_-_2,solution_de_verres_de_contact@produits_hygiéniques_-_2,
COUCHE À ENFILER,1,8,produits_hygiéniques_-_2,couche_à_enfiler@produits_hygiéniques_-_2,
MIROIR À MAIN,2,8,produits_hygiéniques_-_2,miroir_à_main@produits_hygiéniques_-_2,
VITAMINES,3,8,produits_hygiéniques_-_2,vitamines@produits_hygiéniques_-_2,
RETOUR,4,8,produits_hygiéniques_-_2,retour@produits_hygiéniques_-_2,
,,,retour@produits_hygiéniques_-_2,produits_hygiéniques,
JE,1,1,soins_capillaires,je@soins_capillaires,
TU,2,1,soins_capillaires,tu@soins_capillaires,
CHEVEUX,3,1,soins_capillaires,cheveux@soins_capillaires,
SÉCHOIR,4,1,soins_capillaires,séchoir@soins_capillaires,
ÊTRE,1,2,soins_capillaires,être@soins_capillaires,
LAVER LES CHEVEUX,2,2,soins_capillaires,laver_les_cheveux@soins_capillaires,
COUPE DE CHEVEUX,3,2,soins_capillaires,coupe_de_cheveux@soins_capillaires,
SHAMPOING,4,2,soins_capillaires,shampoing@soins_capillaires,
VOULOIR,1,3,soins_capillaires,vouloir@soins_capillaires,
PEIGNER,2,3,soins_capillaires,peigner@soins_capillaires,
ÉLASTIQUE,3,3,soins_capillaires,élastique@soins_capillaires,
AIMER,1,4,soins_capillaires,aimer@soins_capillaires,
SÉCHER,2,4,soins_capillaires,sécher@soins_capillaires,
FER À FRISER,3,4,soins_capillaires,fer_à_friser@soins_capillaires,
FAIRE,1,5,soins_capillaires,faire@soins_capillaires,
BARRETTE,2,5,soins_capillaires,barrette@soins_capillaires,
FER PLAT,3,5,soins_capillaires,fer_plat_soins_capillaires,
BROSSER,1,6,soins_capillaires,brosser@soins_capillaires,
BROSSE,2,6,soins_capillaires,brosse@soins_capillaires,
PEIGNE,3,6,soins_capillaires,peigne@soins_capillaires,
FRISER,1,7,soins_capillaires,friser@soins_capillaires,
PAS,2,7,soins_capillaires,pas@soins_capillaires,
PERRUQUE,3,7,soins_capillaires,perruque@soins_capillaires,
ENCORE,1,8,soins_capillaires,encore@soins_capillaires,
C’EST FINI,2,8,soins_capillaires,c’est_fini@soins_capillaires,
REVITALISANT,3,8,soins_capillaires,revitalisant@soins_capillaires,
PLUS,4,8,soins_capillaires,plus@soins_capillaires,
,,,plus@soins_capillaires,soins_capillaires_-_2,
COUETTES,1,1,soins_capillaires_-_2,couettes@soins_capillaires_-_2,
NŒUDS DANS LES CHEVEUX,1,2,soins_capillaires_-_2,nœuds_dans_les_cheveux@soins_capillaires_-_2,
PEIGNE,1,3,soins_capillaires_-_2,peigne@soins_capillaires_-_2,
QUEUE DE CHEVAL,1,4,soins_capillaires_-_2,queue_de_cheval@soins_capillaires_-_2,
SPRAY-NET ,1,5,soins_capillaires_-_2,spray-net@soins_capillaires_-_2,
TRESSE,1,6,soins_capillaires_-_2,tresse@soins_capillaires_-_2,
RETOUR,4,8,soins_capillaires_-_2,retour@soins_capillaires_-_2,
,,,retour@soins_capillaires_-_2,soins_capillaires,
JE,1,1,maquillage,je@maquillage,
TU ,2,1,maquillage,tu@maquillage,
FARD À PAUPIÈRES,3,1,maquillage,fard_à_paupières@maquillage,
Q-TIP,4,1,maquillage,q-tip@maquillage,
ÊTRE,1,2,maquillage,être@maquillage,
CRÈME HYDRATANTE,2,2,maquillage,crème_hydratante@maquillage,
FOND DE TEINT,3,2,maquillage,fond_de_teint@maquillage,
ROUGE À LÈVRES,4,2,maquillage,rouge_à_lèvres@maquillage,
VOULOIR,1,3,maquillage,vouloir@maquillage,
DÉMAQUILLANT,2,3,maquillage,démaquillant@maquillage,
MAQUILLAGE,3,3,maquillage,maquillage@maquillage,
VERNIS À ONGLES,4,3,maquillage,vernis_à_ongles@maquillage,
AIMER,1,4,maquillage,aimer@maquillage,
DISSOLVANT,2,4,maquillage,dissolvant@maquillage,
MASCARA,3,4,maquillage,mascara@maquillage,
COULEURS,4,4,maquillage,couleurs@maquillage,
,,,couleurs@maquillage,couleurs,
FAIRE,1,5,maquillage,faire@maquillage,
EYELINER,2,5,maquillage,eyeliner@maquillage,
MIROIR DE MAQUILLAGE,3,5,maquillage,miroir_de_maquillage@maquillage,
BLUSH,1,6,maquillage,blush@maquillage,
FARD,2,6,maquillage,fard@maquillage,
OUATE,3,6,maquillage,ouate@maquillage,
BRILLANT À LÈVRES,1,7,maquillage,brillant_à_lèvres@maquillage,
PAS,2,7,maquillage,pas@maquillage,
PARFUM,3,7,maquillage,parfum@maquillage,
ENCORE,1,8,maquillage,encore@maquillage,
C’EST FINI,2,8,maquillage,c’est_fini@maquillage,
PINCEAU À MAQUILLER,3,8,maquillage,pinceau_à_maquiller@maquillage,
FONCÉ,1,3,couleurs,foncé@couleurs,
BLEU,2,3,couleurs,bleu@couleurs,
VIOLET,3,3,couleurs,violet@couleurs,
FERMER,4,3,couleurs,fermer@couleurs,
PÂLE,1,4,couleurs,pâle@couleurs,
VERT,2,4,couleurs,vert@couleurs,
BRUN,3,4,couleurs,brun@couleurs,
GRIS,4,4,couleurs,gris@couleurs,
ROUGE,1,5,couleurs,rouge@couleurs,
ORANGE,2,5,couleurs,orange@couleurs,
NOIR,3,5,couleurs,noir@couleurs,
OR,4,5,couleurs,or@couleurs,
JAUNE,1,6,couleurs,jaune@couleurs,
ROSE,2,6,couleurs,rose@couleurs,
BLANC,3,6,couleurs,blanc@couleurs,
ARGENTÉ,4,6,couleurs,argenté@couleurs,
JE,1,1,contacts,je@contacts,
TU,2,1,contacts,tu@contacts,
TÉLÉPHONE DE PAPA,3,1,contacts,téléphone_de_papa@contacts,
MON ADRESSE,4,1,contacts,mon_adresse@contacts,
ÊTRE,1,2,contacts,être@contacts,
ENVOYER,2,2,contacts,envoyer@contacts,
MON TÉLÉPHONE,3,2,contacts,mon_téléphone@contacts,
VOULOIR,1,3,contacts,vouloir@contacts,
COURRIEL,2,3,contacts,courriel@contacts,
EMAIL DE MAMAN,3,3,contacts,email_de_maman@contacts,
AIMER,1,4,contacts,aimer@contacts,
TEXTO,2,4,contacts,texto@contacts,
EMAIL DE PAPA,3,4,contacts,email_de_papa@contacts,
FAIRE,1,5,contacts,faire@contacts,
CAHIER,2,5,contacts,cahier@contacts,
MON EMAIL,3,5,contacts,mon_email@contacts,
APPELER,1,6,contacts,appeler@contacts,
APPELEZ QUELQU’UN,2,6,contacts,appelez_quelqu’un@contacts,
QUEL EST TON TÉLÉPHONE?,3,6,contacts,quel_est_ton@téléphone?@contacts,
QUI ,1,7,contacts,qui@contacts,
PAS ,2,7,contacts,pas@contacts,
QUEL EST TON ADRESSE COURRIEL?,3,7,contacts,quel_est_ton_adresse_courriel?@contacts,
ÉCRIRE,1,8,contacts,écrire@contacts,
TÉLÉPHONE DE MAMAN,2,8,contacts,téléphone_de_maman@contacts,
QUELLE EST TON ADRESSE?,3,8,contacts,quelle_est_ton_adresse?@contacts,
JE,1,1,personnes,je@personnes,
TU ,2,1,personnes,tu@personnes,
ENSEIGNANT,3,1,personnes,enseignant@personnes,
FAMILLE,4,1,personnes,famille@personnes,
,,,famille@personnes,famille,
ÊTRE,1,2,personnes,être@personnes,
FRÈRE,2,2,personnes,frère@personnes,
ENSEIGNANTE,3,2,personnes,enseignante@personnes,
AMIS,4,2,personnes,amis@personnes,
,,,amis@personnes,amis,
VOULOIR,1,3,personnes,vouloir@personnes,
SŒUR,2,3,personnes,sœur@personnes,
ÉDUCATEUR,3,3,personnes,éducateur@personnes,
PROFESSEURS,4,3,personnes,professeurs@personnes,
,,,professeurs@personnes,professeurs,
AIMER,1,4,personnes,aimer@personnes,
GRAND-MAMAN,2,4,personnes,grand-maman@personnes,
ÉDUCATRICE,3,4,personnes,éducatrice@personnes,
CONTACTS,4,4,personnes,contacts@personnes,
,,,contacts@personnes,contacts,
FAIRE,1,5,personnes,faire@personnes,
GRAND-PAPA,2,5,personnes,grand-papa@personnes,
DOCTEUR,3,5,personnes,docteur@personnes,
PRONOMS,4,5,personnes,pronoms@personnes,
,,,pronoms@personnes,pronoms,
MAMAN,1,6,personnes,maman@personnes,
AMI,2,6,personnes,ami@personnes,
INFIRMIER,3,6,personnes,infirmier@personnes,
QUI,1,7,personnes,qui@personnes,
PAS,2,7,personnes,pas@personnes,
INFIRMIÈRE,3,7,personnes,infirmière@personnes,
PAPA,1,8,personnes,papa@personnes,
AMIE,2,8,personnes,amie@personnes,
THÉRAPEUTE,3,8,personnes,thérapeute@personnes,
PLUS,4,8,personnes,plus@personnes,
,,,plus@personnes,personnes_-_2,
PERSONNE,1,1,personnes_-_2,personne@personnes_-_2,
SANTÉ,2,1,personnes_-_2,santé@personnes_-_2,
,,,santé@personnes_-_2,santé,
FEMME,1,2,personnes_-_2,femme@personnes_-_2,
PROFESSIONS,2,2,personnes_-_2,professions@personnes_-_2,
,,,professions@personnes_-_2,professions,
HOMME,1,3,personnes_-_2,homme@personnes_-_2,
CHANTEURS ET MUSICIENS,2,3,personnes_-_2,chanteurs_et_musiciens@personnes_-_2,
,,,chanteurs_et_musiciens@personnes_-_2,chanteurs_et_musiciens,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
GARÇON,1,4,personnes_-_2,garçon@personnes_-_2,
ATHLÈTES,2,4,personnes_-_2,athlètes@personnes_-_2,
,,,athlètes@personnes_-_2,athlètes,
FILLE,1,5,personnes_-_2,fille@personnes_-_2,
ACTUALITÉS,2,5,personnes_-_2,actualités@personnes_-_2,
,,,actualités@personnes_-_2,actualités,
BÉBÉ,1,6,personnes_-_2,bébé@personnes_-_2,
PERSONNAGES HISTORIQUES,2,6,personnes_-_2,personnages_historiques@personnes_-_2,
,,,personnages_historiques@personnes_-_2,personnages_historiques,
ACTEURS,1,7,personnes_-_2,acteurs@personnes_-_2,
,,,acteurs@personnes_-_2,acteurs,
AUTEURS,2,7,personnes_-_2,auteurs@personnes_-_2,
,,,auteurs@personnes_-_2,auteurs,
PERSONNAGES,1,8,personnes_-_2,personnages@personnes_-_2,
,,,personnages@personnes_-_2,personnages,
RETOUR,4,8,personnes_-_2,retour@personnes_-_2,
,,,retour@personnes_-_2,personnes,
JE,1,1,famille,je@famille,
TU ,2,1,famille,tu@famille,
SŒUR,3,1,famille,sœur@famille,
ÊTRE,1,2,famille,être@famille,
FAMILLE,2,2,famille,famille@famille,
VOULOIR,1,3,famille,vouloir@famille,
FRÈRE,2,3,famille,frère@famille,
AIMER,1,4,famille,aimer@famille,
GRAND-PAPA,2,4,famille,grand-papa@famille,
FAIRE,1,5,famille,faire@famille,
GRAND-MAMAN,2,5,famille,grand-maman@famille,
AIMER,1,6,famille,aimer@famille,
MAMAN,2,6,famille,maman@famille,
QUI,1,7,famille,qui@famille,
PAS,2,7,famille,pas@famille,
DÉTESTER,1,8,famille,détester@famille,
PAPA,2,8,famille,papa@famille,
PLUS,4,8,famille,plus@famille,
,,,plus@famille,famille_-_2,
BEAU-PÈRE,1,1,famille_-_2,beau-père@famille_-_2,
FILS,2,1,famille_-_2,fils@famille_-_2,
BELLE-MÈRE,1,2,famille_-_2,belle-mère@famille_-_2,
MARI,2,2,famille_-_2,mari@famille_-_2,
COUSIN,1,3,famille_-_2,cousin@famille_-_2,
NEVEU,2,3,famille_-_2,neveu@famille_-_2,
COUSINE,1,4,famille_-_2,cousine@famille_-_2,
NIÈCE,2,4,famille_-_2,nièce@famille_-_2,
DEMI-FRÈRE,1,5,famille_-_2,demi-frère@famille_-_2,
ONCLE,2,5,famille_-_2,oncle@famille_-_2,
DEMI-SŒUR,1,6,famille_-_2,demi-sœur@famille_-_2,
PETIT-FILS,2,6,famille_-_2,petit-fils@famille_-_2,
FEMME,1,7,famille_-_2,femme@famille_-_2,
PETITE-FILLE,2,7,famille_-_2,petite-fille@famille_-_2,
FILLE,1,8,famille_-_2,fille@famille_-_2,
TANTE,2,8,famille_-_2,tante@famille_-_2,
RETOUR,4,8,famille_-_2,retour@famille_-_2,
,,,retour@famille_-_2,famille,
JE,1,1,amis,je@amis,
TU,2,1,amis,tu@amis,
VOISIN,3,1,amis,voisin@amis,
ÊTRE,1,2,amis,être@amis,
AMI,2,2,amis,ami@amis,
VOISINE,3,2,amis,voisine@amis,
VOULOIR,1,3,amis,vouloir@amis,
AMIE,2,3,amis,amie@amis,
AIMER,1,4,amis,aimer@amis,
MEILLEUR AMI,2,4,amis,meilleur@ami@amis,
FAIRE,1,5,amis,faire@amis,
MEILLEURE AMIE,2,5,amis,meilleure@amie@amis,
AIMER ,1,6,amis,aimer@amis,
CHUM,2,6,amis,chum@amis,
QUI,1,7,amis,qui@amis,
PAS,2,7,amis,pas@amis,
DÉTESTER,1,8,amis,détester@amis,
BLONDE,2,8,amis,blonde@amis,
PLUS,4,4,amis,plus@amis,
,,,plus@amis,amis_-_2,
COLOCATAIRE,1,1,amis_-_2,colocataire@amis_-_2,
RETOUR,4,8,amis_-_2,retour@amis_-_2,
,,,retour@amis_-_2,amis,
JE,1,1,professeurs,je@professeurs,
TU,2,1,professeurs,tu@professeurs,
ÉDUCATRICE,3,1,professeurs,éducatrice@professeurs,
ÊTRE,1,2,professeurs,être@professeurs,
ENSEIGNANT,2,2,professeurs,enseignant@professeurs,
ORTHOPHONISTE,3,2,professeurs,orthophoniste@professeurs,
VOULOIR,1,3,professeurs,vouloir@professeurs,
ENSEIGNANTE,2,3,professeurs,enseignante@professeurs,
ERGOTHÉRAPEUTE,3,3,professeurs,ergothérapeute@professeurs,
AIMER,1,4,professeurs,aimer@professeurs,
CHAUFFEUR D’AUTOBUS,2,4,professeurs,chauffeur_d’autobus@professeurs,
PHYSIOTHÉRAPEUTE,3,4,professeurs,physiothérapeute@professeurs,
FAIRE,1,5,professeurs,faire@professeurs,
CHAUFFEUSE D’AUTOBUS,2,5,professeurs,chauffeuse_d’autobus@professeurs,
CONCIERGE,3,5,professeurs,concierge@professeurs,
DIRECTEUR,1,6,professeurs,directeur@professeurs,
BIBLIOTHÉCAIRE,2,6,professeurs,bibliothécaire@professeurs,
BRIGADIER,3,6,professeurs,brigadier@professeurs,
QUI,1,7,professeurs,qui@professeurs,
PAS,2,7,professeurs,pas@professeurs,
BRIGADIÈRE,3,7,professeurs,brigadière@professeurs,
DIRECTRICE,1,8,professeurs,directrice@professeurs,
ÉDUCATEUR,2,8,professeurs,éducateur@professeurs,
SECRÉTAIRE,3,8,professeurs,secrétaire@professeurs,
JE,1,4,pronoms,je@pronoms,
NOUS,2,4,pronoms,nous@pronoms,
ÇA,3,4,pronoms,ça@pronoms,
FERMER,4,4,pronoms,fermer@pronoms,
TU,1,5,pronoms,tu@pronoms,
VOUS,2,5,pronoms,vous@pronoms,
CE,3,5,pronoms,ce@pronoms,
IL,1,6,pronoms,il@pronoms,
ILS,2,6,pronoms,ils@pronoms,
CELUI,3,6,pronoms,celui@pronoms,
EN,4,6,pronoms,en@pronoms,
ELLE,1,7,pronoms,elle@pronoms,
ELLES,2,7,pronoms,elles@pronoms,
Y,3,7,pronoms,y@pronoms,
ON,4,7,pronoms,on@pronoms,
JE,1,1,santé,je@santé,
TU,2,1,santé,tu@santé,
ÊTRE,1,2,santé,être@santé,
ERGOTHÉRAPEUTE,2,2,santé,ergothérapeute@santé,
VOULOIR,1,3,santé,vouloir@santé,
INFIRMIÈRE,2,3,santé,infirmière@santé,
AIMER,1,4,santé,aimer@santé,
PHYSIOTHÉRAPEUTE,2,4,santé,physiothérapeute@santé,
FAIRE,1,5,santé,faire@santé,
MÉDECIN,2,5,santé,médecin@santé,
AIDER,1,6,santé,aider@santé,
ORTHOPHONISTE,2,6,santé,orthophoniste@santé,
QUI,1,7,santé,qui@santé,
PAS,2,7,santé,pas@santé,
DENTISTE,1,8,santé,dentiste@santé,
PSYCHOLOGUE,2,8,santé,psychologue@santé,
PLUS,4,8,santé,plus@santé,
,,,plus@santé,santé_-_2,
OPHTALMOLOGUE,1,1,santé_-_2,ophtalmologue@santé_-_2,
OPTOMÉTRISTE,1,2,santé_-_2,optométriste@santé_-_2,
ORTHODONTISTE,1,3,santé_-_2,orthodontiste@santé_-_2,
OTO-RHINO-LARYNGOLOGISTE,1,4,santé_-_2,oto-rhino-laryngologiste@santé_-_2,
URGENTOLOGUE,1,5,santé_-_2,urgentologue@santé_-_2,
RETOUR,4,8,santé_-_2,retour@santé_-_2,
,,,retour@santé_-_2,santé,
JE,1,1,professions,je@professions,
TU,2,1,professions,tu@professions,
ENTRAÎNEUR,3,1,professions,entraîneur@professions,
POMPIER,4,1,professions,pompier@professions,
ÊTRE,1,2,professions,être@professions,
ACTEUR,2,2,professions,acteur@professions,
COACH,3,2,professions,coach@professions,
CONCIERGE,4,2,professions,concierge@professions,
VOULOIR,1,3,professions,vouloir@professions,
ACTRICE,2,3,professions,actrice@professions,
CUISINER,3,3,professions,cuisiner@professions,
BIBLIOTHÉCAIRE,4,3,professions,bibliothécaire@professions,
AIMER,1,4,professions,aimer@professions,
ATHLÈTE,2,4,professions,athlète@professions,
CUISINIÈRE,3,4,professions,cuisinière@professions,
FACTEUR,4,4,professions,facteur@professions,
FAIRE,1,5,professions,faire@professions,
ASSISTANTE MATERNELLE,2,5,professions,assistante_maternelle@professions,
BRIGADIER,3,5,professions,brigadier@professions,
FACTRICE,4,5,professions,factrice@professions,
TRAVAILLER,1,6,professions,travailler@professions,
CHAUFFEUR D’AUTOBUS,2,6,professions,chauffeur_d’autobus@professions,
BRIGADIÈRE,3,6,professions,brigadière@professions,
POLICIER,4,6,professions,policier@professions,
QUI,1,7,professions,qui@professions,
PAS,2,7,professions,pas@professions,
AGRICULTEUR,3,7,professions,agriculteur@professions,
POLICIÈRE,4,7,professions,policière@professions,
TRAVAIL,1,8,professions,travail@professions,
CHAUFFEUSE D’AUTOBUS,2,8,professions,chauffeuse_d’autobus@professions,
AGRICULTRICE,3,8,professions,agricultrice@professions,
PAGE SUIVANTE,4,8,professions,page_suivante@professions,
,,,page_suivante@professions,professions_-_2,
SECRÉTAIRE,1,1,professions_-_2,secrétaire@professions_-_2,
CHANTEUR,1,2,professions_-_2,chanteur@professions_-_2,
CHANTEUSE,1,3,professions_-_2,chanteuse@professions_-_2,
CAISSIER,1,4,professions_-_2,caissier@professions_-_2,
CAISSIÈRE,1,5,professions_-_2,caissière@professions_-_2,
SERVEUR,1,6,professions_-_2,serveur@professions_-_2,
SERVEUSE,1,7,professions_-_2,serveuse@professions_-_2,
PAGE PRÉCÉDENTE,4,8,professions_-_2,page_précédente@professions_-_2,
,,,page_précédente@professions_-_2,professions,
PLUS,4,8,professions_-_2,plus@professions_-_2,
,,,plus@professions_-_2,professions_-_3,
ARTISTE,1,1,professions_-_3,artiste@professions_-_3,
BOXEUSE,2,1,professions_-_3,boxeuse@professions_-_3,
STEWART,3,1,professions_-_3,stewart@professions_-_3,
SAUVETEUR,4,1,professions_-_3,sauveteur@professions_-_3,
ASTRONAUTE,1,2,professions_-_3,astronaute@professions_-_3,
CHARPENTIER,2,2,professions_-_3,charpentier@professions_-_3,
JUGE,3,2,professions_-_3,juge@professions_-_3,
SAUVETEUSE,4,2,professions_-_3,sauveteuse@professions_-_3,
BALLERINE,1,3,professions_-_3,ballerine@professions_-_3,
CHARPENTIÈRE,2,3,professions_-_3,charpentière@professions_-_3,
ROI,3,3,professions_-_3,roi@professions_-_3,
MAGICIEN,4,3,professions_-_3,magicien@professions_-_3,
DANSEUR DE BALLET,1,4,professions_-_3,danseur@de@ballet@professions_-_3,
COMÉDIEN,2,4,professions_-_3,comédien@professions_-_3,
REINE,3,4,professions_-_3,reine@professions_-_3,
MAGICIENNE,4,4,professions_-_3,magicienne@professions_-_3,
EMPLOYÉ DE BANQUE,1,5,professions_-_3,employé_de_banque@professions_-_3,
COMÉDIENNE,2,5,professions_-_3,comédienne@professions_-_3,
CHEVALIER,3,5,professions_-_3,chevalier@professions_-_3,
MÉCANICIEN,4,5,professions_-_3,mécanicien@professions_-_3,
EMPLOYÉE DE BANQUE,1,6,professions_-_3,employée_de_banque@professions_-_3,
ÉLECTRICIEN,2,6,professions_-_3,électricien@professions_-_3,
PAYSAGISTE,3,6,professions_-_3,paysagiste@professions_-_3,
MÉCANICIENNE,4,6,professions_-_3,mécanicienne@professions_-_3,
COIFFEUR,1,7,professions_-_3,coiffeur@professions_-_3,
ÉLECTRICIENNE,2,7,professions_-_3,électricienne@professions_-_3,
AVOCAT,3,7,professions_-_3,avocat@professions_-_3,
MANNEQUIN,4,7,professions_-_3,mannequin@professions_-_3,
BOXER,1,8,professions_-_3,boxer@professions_-_3,
HÔTESSE DE L’AIR,2,8,professions_-_3,hôtesse_de_l’air@professions_-_3,
AVOCATE,3,8,professions_-_3,avocate@professions_-_3,
PAGE SUIVANTE,4,8,professions_-_3,page_suivante@professions_-_3,
,,,page_suivante@professions_-_3,professions_-_4,
PHARMACIEN,1,1,professions_-_4,pharmacien@professions_-_4,
PRISONNIER,2,1,professions_-_4,prisonnier@professions_-_4,
TRAVAILLEUSE SOCIAL,3,1,professions_-_4,travailleuse_social@professions_-_4,
